"","State","EduThreshhold","Politics","AboveMed","UnhealthyDays","BirthweightPer","NoInsurance","DiabetesPer","HousingProbPer","HealthyFoodPer"
"1","Alabama","No","Republican","No",8.555693419,10.43276003,14.91000099,13,13.15678879,8.76054853
"2","Alaska","No","Swing","Yes",6.369382979,6.064883942,14.80600535,7.4,20.42274369,7.86878878
"3","Arizona","No","Republican","No",7.475238775,7.323263491,15.23625922,9.7,17.41026808,8.679974113
"4","Arkansas","No","Democrat","No",9.552271949,9.189876511,12.58436553,11.7,13.78932189,10.01597495
"5","California","Yes","Democrat","Yes",6.994942925,6.889021503,9.953588877,9.2,25.86903133,3.23438071
"6","Colorado","Yes","Democrat","Yes",6.960719089,9.124500348,11.53029725,7,15.96653319,5.044386731
"7","Connecticut","Yes","Democrat","Yes",6.906354148,7.807710002,6.370483164,8.2,17.51857567,4.268385747
"8","Delware","No","Republican","Yes",7.26516792,8.975105932,9.114064702,10.5,14.51475284,6.295007877
"9","Florida","No","Swing","No",7.15310707,8.698099884,18.44570115,9.5,18.79216319,7.592085563
"10","Georgia","Yes","Democrat","No",7.678634521,9.800572282,18.40583089,10.6,15.49005002,10.02368523
"11","Hawaii","No","Republican","Yes",5.838846951,8.301367168,5.375815085,9.4,26.20884802,5.357840031
"12","Idaho","No","Democrat","No",7.028997516,6.844728336,13.37827066,7.9,13.76406724,7.920462857
"13","Illinois","Yes","Republican","Yes",5.888863581,8.360295555,10.40764474,9.3,16.13976912,4.830636964
"14","Indiana","No","Republican","No",8.196028553,8.116467521,10.15146695,10.5,12.30771625,8.654988611
"15","Iowa","No","Democrat","No",7.181116854,6.771989689,7.030609871,8.9,11.69679369,5.673488424
"16","Kansa","No","Democrat","No",7.284676197,7.189873222,12.52004738,9.9,12.54045916,8.439792368
"17","Kentucky","No","Republican","No",9.726575027,8.781923229,7.965088389,11.4,13.15446611,6.394326789
"18","Louisiana","No","Democrat","No",9.715512085,10.6939097,11.82251327,12.7,15.54790327,10.6627643
"19","Maine","No","Democrat","No",7.057957592,7.240503971,10.4277471,8.2,13.37869696,3.541789184
"20","Maryland","Yes","Democrat","Yes",6.577559253,8.654725587,7.917526366,9.1,15.72983011,3.555621903
"21","Massachusetts","Yes","Swing","Yes",6.903722359,7.498464688,3.632231251,7.7,17.09000399,3.927569492
"22","Michigan","No","Democrat","No",8.579791815,8.60719713,7.779322606,10.6,13.7860098,6.377908809
"23","Minnesota","Yes","Republican","Yes",6.718572919,6.675477927,6.891248533,7.8,12.74521242,5.694465118
"24","Mississippi","No","Republican","No",7.298358448,11.71728534,17.47518257,13.2,14.64874434,11.37414293
"25","Missouri","No","Republican","No",8.297239448,8.58439878,14.29410178,9.4,12.86384043,7.236190737
"26","Montana","No","Republican","No",7.770338074,7.52592952,12.12094599,7.7,14.45298806,7.250801473
"27","Nebraska","No","Swing","No",6.40121795,7.240117536,11.35323649,8.9,12.1717654,5.64935861
"28","Nevada","No","Democrat","No",9.582847549,8.687901882,16.05091763,9.9,18.53677408,6.148289675
"29","New Hampshire","Yes","Democrat","Yes",7.9526065,6.737177972,9.293776749,7.4,13.88912384,4.23149839
"30","New Jersey","Yes","Republican","Yes",6.428756542,7.953174114,10.52043009,8.6,20.19849159,3.651927825
"31","New Mexico","No","Democrat","No",7.389606768,9.0179156,14.27679889,11,16.72989427,13.03992756
"32","New York","Yes","Swing","Yes",6.827861663,7.992527523,7.345919084,9.1,22.87084643,2.384427916
"33","North Carolina","No","Republican","No",7.064739901,9.233073396,15.46663712,11,14.36862624,7.500645366
"34","North Dakota","No","Republican","No",6.259438294,6.553382072,9.086628161,9.3,11.72876351,6.857176344
"35","Ohio","No","Republican","No",8.211074169,8.555057755,9.377337716,10.9,13.05919561,6.869825478
"36","Oklahoma","No","Democrat","No",8.736816346,8.082112031,21.70233186,11.8,13.69809332,8.866288107
"37","Oregon","Yes","Swing","Yes",7.542368396,6.554412408,9.531586516,8.4,18.35599697,4.66607291
"38","Pennsylvania","No","Democrat","No",7.956524335,8.296523669,8.37757467,9.7,14.20067464,4.587502524
"39","Rhode Island","Yes","Republican","Yes",7.433535086,7.602038747,5.121933129,9,16.5984555,4.671400899
"40","South Carolina","No","Republican","No",8.822520554,9.631076226,15.43579461,11.9,14.06996347,9.750184822
"41","South Dakota","No","Republican","No",5.602751958,6.683554638,13.87866294,6.9,11.58988952,8.480418186
"42","Tennessee","No","Republican","No",8.298370512,9.132155751,14.53142345,12.5,13.42745708,8.872931236
"43","Texas","No","Republican","No",7.09798189,8.341788531,23.57448966,12,17.18423446,8.349817384
"44","Utah","Yes","Republican","No",7.525394912,7.147051225,11.08948187,8.5,13.40458297,5.789511922
"45","Vermont","Yes","Swing","Yes",7.89306621,6.826676159,6.117116472,6.7,16.49617352,2.97414545
"46","Virginia","Yes","Democrat","Yes",6.7930935,8.133703782,10.10789344,9.8,14.07977354,4.437811015
"47","Washingtion","Yes","Republican","Yes",7.477171956,6.519240683,8.977709188,7.8,16.5105261,5.075908777
"48","West Virginia","No","Swing","No",10.04204546,9.462501331,10.25801905,13.1,10.93934492,7.504069266
"49","Wisconsin","No","Republican","No",7.591142336,7.512323148,7.762866969,7.6,13.0672072,5.000549198
"50","Wyoming","No","Republican","No",6.829679764,9.079216007,16.58162056,7.5,11.92742286,7.955554155
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
